Syslog logging: enabled (0 messages dropped, 3 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 206 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 206 message lines logged
        Logging Source-Interface:       VRF Name:
    TLS Profiles: 

Log Buffer (131072 bytes):

*Mar  2 07:54:20.915: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:54:20 UTC Thu Mar 2 2023
*Mar  2 07:54:22.601: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:55:15.535: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:55:15 UTC Thu Mar 2 2023
*Mar  2 07:55:17.251: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:56:02.615: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:56:02 UTC Thu Mar 2 2023
*Mar  2 07:56:04.397: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 07:56:26.535: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 07:56:26 UTC Thu Mar 2 2023
*Mar  2 07:56:46.298: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 08:06:42.291: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 08:06:42 UTC Thu Mar 2 2023
*Mar  2 08:07:10.621: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 08:08:27.897: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 08:08:27 UTC Thu Mar 2 2023
*Mar  2 08:09:35.008: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 08:09:48.834: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 08:09:48 UTC Thu Mar 2 2023
*Mar  2 08:10:31.746: %SYS-6-LOGOUT: User cisco has exited tty session 3(10.16.36.99)
*Mar  2 08:11:29.095: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: cisco] [Source: 10.16.36.99] [localport: 22] at 08:11:29 UTC Thu Mar 2 2023
